,gid,black,white,black_rating,white_rating,move_list,winner
4037,40512,Niall,na_wspak,2218,2034,a10g7i7j11g10i6e7d6f5e8b8d8d7c8c7b9k5j6k6j7k7j8k8j9a9b11k9i12j10h11i10h10h7h9f8f7m10k11,white
4038,38947,tangram,Niall,1450,2218,b2g7i8i6d8e6c7d5f6e8e7d9b10b12c11g4h5i3k3j4k4j7j5i5l6k8e5f3e4e3d4d3b4c12d11d12f10f11g10g11i11i10j9j10k9k11,white
4039,38945,Niall,Robin,2218,1689,j10*g7f9c9e8d7c12i9h11g11h10g9g10f10f11d12e11d11e10c10e5f6g4i4h5b6c4f4f5d5d6b7e4d4e2e3f2f3g2g3h2h3i2k3l1k1i3j3h4i6h9e7i5j5c7d13,black
4040,38943,TERMINATOR,Niall,1476,2218,h8*l6j10i9j7k8k5m4l3d8d10f9f5g7h4i4h6h5g6c5d6c7c6a7b7a8b8a9c9h7i6b9e8a11b12a12a13c10c11f7c8d9b10b11a10j6j5f6g5k4l4m3m2e6e5,white
4041,38298,Greg Pallis,Niall,1476,2218,d10*g7e3h4i2g3f9i8h10g10h8i6h9j9i7l6k7j7j6m4l3k4k6b9c11e10e8d9d7c7d6c5c6a7c4b6e4,white
4042,38277,gwg_robot,Niall,1500,2218,g7g8f8e10d10c12b12h4f4f5c6d7b8c9e6e5d6d4j4i5j5h7i6h6j7i10g10h9l9k9l8k11j10j9k10k7b5c3,white
4043,2007426,HappyHippo,Force majeure,2200,2092,a13i10d5,black
4044,2002835,JKB,HappyHippo,2161,2200,k2i5j9j10k9k11i10h12k10j11l10l11g11e12f12h10,white
4045,2000923,apetresc ★,HappyHippo,1559,2200,a3d10h9i10f10j2g5e5f4g6j6j5,white
4046,2000922,HappyHippo,apetresc ★,2200,1559,c12*i5f5d5j9e9g8i8i7,white
4047,2000921,HappyHippo,lguser,2200,1584,m1i10e9g4d5d6j10j9l8,black
4048,2000920,lguser,HappyHippo,1584,2200,a13e4j4i10d10e9j9j11,white
4049,2000919,morphles,HappyHippo,1752,2200,a3e9i8i10h9g11e10j2d6e7f6,black
4050,2000918,HappyHippo,morphles,2200,1752,m4*k10j4d5f7d8d9k5j8i8i7,white
4051,2000917,HappyHippo,Pablo G Barrientos,2200,1753,a10d11j9f8d5c7j6j8k6i9l7k9l10m8k8,black
4052,2000916,Pablo G Barrientos,HappyHippo,1753,2200,h11i10d5d4f6e9g8h9f10g5e4d7f7e5f5g3h4g4,white
4053,2000915,Alexander Kurz,HappyHippo,1813,2200,c2i10h9e6f6g4,white
4054,2000914,HappyHippo,Alexander Kurz,2200,1813,m1g7j9j5d5,black
4055,2000913,HappyHippo,struggler,2200,1844,k12i5d5d3c3c4b6d2e3,black
4056,2000912,struggler,HappyHippo,1844,2200,m1*i10i5e4i7h7,black
4057,2000911,ypercube,HappyHippo,1824,2200,m6*d4,black
4058,2000910,HappyHippo,ypercube,2200,1824,a10*l2d10j9j5,white
4059,2000909,HappyHippo,Giupiter,2200,1843,m1l3j9f5d5g7j6j7i7g8k5,black
4060,2000908,Giupiter,HappyHippo,1843,2200,a12*f6e4h5i10h9g11f10d11e12h6e8e9i7g8j5,black
4061,2000907,psikonauta,HappyHippo,1902,2200,a3d10j9i5h6j10g10i6g6g8e9f7b10d11a12d8c8b9c9d6e7f5h4f6l5i7m3k4,white
4062,2000906,HappyHippo,psikonauta,2200,1902,d11*h6e4d4e3c3d3c4d2b3d6b7c8b10a9d7c7e6h2e5d5f4g3i3j1k2j3j2h4g4h3i4h5i5h7i8j6f8g7g6e8f7e11f9d12g10g9f10g11f11e13i11g12h10,black
4063,2000905,HappyHippo,Force majeure,2200,2092,c2*j9i5k4j11k11j8k6k3f5e9h7,black
4064,2000904,Force majeure,HappyHippo,2092,2200,c2e9j9i5c10e7l4j10i10h12k9,black
4065,2000903,Tom Ace,HappyHippo,1929,2200,k2i5g9e4h5i10e9g4e5f6d7f7j5j4c8f3,white
4066,2000902,HappyHippo,Tom Ace,2200,1929,m1*j9i5d5f7h6i4j6i6j4j5l4j2k6i7m2j3m1j8l7k8l8k9,white
4067,2000901,HappyHippo,David J Bush ★,2200,2130,a9e4j9j10i10g7d4d5b6f3f2b7j6j5f7h4i4j2k3,black
4068,2000900,David J Bush ★,HappyHippo,2130,2200,a5*j9j4g6j10i5e9h8j3f8i2f2g3e4f7e8,black
4072,1996337,Giupiter,HappyHippo,1843,2200,m1*h8i10e6e4g8e11f6g10h10h11f11f10,white
4075,1987317,HappyHippo,Jos Dekker,2200,2167,c12e4i5i10d4e3c3d5b6c7b9e2b4b8d6c6k10k11j11k9f5h6h8i6f6d8g7f7g6,black
4076,1984634,Tommah,HappyHippo,1769,2200,m7*c11e4k3d12c12j4k4j5k5j6k6j7k7j8k8j9k9j11j10i11i10h11h10g11g10e11f11e13e10,black
4077,1980470,HappyHippo,Nagy Fathy ★,2200,1754,a13*j9j6d5d6e7f5e5e6h5h4g5f7g7g8f8f9e9d11e10e11f10f11g10g11h10h12h11g12j11g4i4j2i3i2h3h2g3g2e3f3f4e4d4f1d2,black
4078,1976851,FruG0,HappyHippo,2023,2200,m5e4c3j11l11l10g9f8k6i7j8h8h6g7c9j5l4j4m2k2m1i9h9i8e6d9b10d8c8d6d7f4e5d5g6g5,white
4079,1973909,Omo321 ★,HappyHippo,1910,2200,f12i5e6e4f4h3k3j4l4k4g3e9g7g8j7h7l3k6,white
4080,1972065,fastplayer,HappyHippo,1806,2200,a3i10d10e7d5e8l8i5k4k3j4i4j3k5j5i8c9e6f9c11d7d6b7c6b10c12b6c5b5c4b4f11e11d13e12e13f12f13g12g13h12h13j11j12l11k11m9l10m10l9m8k9k8f10j7,black
4082,1967924,magicnonno,HappyHippo,1877,2200,a4*i9i5f4f8g7f9h8i4h5h4g5h7g8g4f5g2f2f3d4e4d5e5d6e6c8d7c7d10g3h2h3i2j3i3k4k5j5i7e3d8l6j7,white
4083,1966816,bennok,HappyHippo,1905,2200,a3i10d8d10g10g9f9f8h10f7c9f6d6f5c6d11j8g8i7i8j7i9k9j11k11k10m9l9m8l8m7l7m6l6m5l4l5k5,white
4084,1965035,Tom Ace,HappyHippo,1929,2200,k2i10k11i5d8d10e9e4f4e10c9e11b10d12h10g9h8h9j8i11k9k10m9l9,white
4085,1962817,struggler,HappyHippo,1844,2200,a3i10f8e7g8g6h6i4j4i5j5i6j6h9i7h7h8f10e10d12b12c11b11d9e11e12f11f12g11g12h11h12i11i12j11j12l11k11l10k10l9k9l8k7,white
4086,1961226,Marius Halsor ★,HappyHippo,2005,2200,l12i5d5e9g7g8d9d10b11d11b12c10b10c8h6h5f8e7j5i7f9f10c9,black
4088,1956967,Jos Dekker,HappyHippo,2167,2200,a13i10e4f8k10k11j11k9j9j10c8d6e8f5e6e5g5f6g7e9g9g8i7h8i9i6h7g6j6k7i8g3,white
4089,1955319,HappyHippo,Art Duval ★,2200,2165,c12e4i5i10e8g7d4e3d3e2b5d5b6c7b9d8a8c10c11b11d9f9d10c9g6g5,white
4090,1953250,Mirko Rahn,HappyHippo,2006,2200,a5*h4i10e10e9k10k11j10h11h8g9f9g7j7j4k5h5l3l4k4g8,white
4092,1949318,HappyHippo,wolve_bot,2200,1942,m1*d5e9j9j4f8g5h6g9h7i4f6f4e6i8f9e11f10f11g10d4e4d6e5g11h10f2f3g2g3h2i3j1k2h12h11,black
4093,1946599,JKB,HappyHippo,2161,2200,k2i10e9e4k10k11d5e5c4c3b4b3d3f2f3d7l4j5k6i7i6j4j6h5d6e8e7f10d9d11c11b13b11d8g7f6l3l5k5f8g8d12f9a13g10g9h9j8h8g11l7j11f11e13f12,black
4094,1944666,HappyHippo,Force majeure,2200,2092,a7i10e9e4i5f8h9i6g7g8e8f7e7f6d6e6b8d7c9b9c8d3g5g3j5h4h5i7l4f4j7j6k6i8j8i9j10j9l8k9l9k5l5l3k4j3k3l1k2k1j2j1h2,black
4095,1942641,PaulStu,HappyHippo,1896,2200,m11i5g6d12e11f5h4g7f7f8e8d10e9e10f9e12f11f10g9g10h9h12i9j11h11f13g12g13f12e13c12d11c10d9c9d8c8c6i12i11,white
