,gid,black,white,black_rating,white_rating,move_list,winner
19362,2000953,ypercube,Tom Ace,1824,1929,m6j11d10d8i8j4i5i4g5h7f6f7,white
19363,2000952,Tom Ace,ypercube,1929,1824,k2*h9i5h5h6g6f8e8e9c10e6j5i7h7i4l4k3h4,black
19364,2000951,Tom Ace,Giupiter,1929,1843,k2*j9k10l8h6j4j7f7f6e7e6d7d6c8h5i6h8h7g8g7e9c10d11c11b13c12c13d12d13e12e13f12f13g12g13h12h13i12i13j12,black
19365,2000950,Giupiter,Tom Ace,1843,1929,m1*h8j11g8e10f9e11f11g6h6h5i5i4j4j3k3l1k2k1j2j1i2i1h2h1g2g1f2f1e2e1c2d2c3d3c4d4c5d5c6d6,white
19366,2000949,psikonauta,Tom Ace,1902,1929,a3*j9k12e9g7f7f9i9g6h6f8i7h5i5i4k3j4k4j5k5j6k6j8j7i8h8h9g9f11g10g11k9,black
19367,2000948,Tom Ace,psikonauta,1929,1902,k2*i5i10f9g7g9i6h6h7e8f6e6e7c8d8c9d7c7d5d6g3f4f2f3g2e3e1e2f1c2d12d10,black
19378,1993084,zastrzyk,Tom Ace,1751,1929,m8*k10l10k11d3c3d2c2c6g7h4e5e6j6h5j4j3k3l1l3m1k2k1j2j1i2i1h2h1f2g2f4g3g4f10k7h3f7f6,white
19379,1989652,Tom Ace,herveherve,1929,1623,k2*k10g7c4i6f7f8d9f5j4k5e7e6g5,black
19380,1987325,Tom Ace,Nagy Fathy ★,1929,1754,k2*k10k7g7g10i8i9h9h10h5f9e9d11f10g9e10e12d12e11d9c10f11f12g11g12h11h12i11i13i12h13k12j12k11f8e7g6f5g3e4e3i2f4h4e8d8,black
19381,1984646,Tom Ace,Nate Watson,1929,1691,k2*k10i5f6g7e8e11e9d12d10c12f10f5g5h3g4g3j2,black
19382,1980483,Tom Ace,piotr,1929,1742,c12f8c4c3b2d2b5d8i8i7e8e9k6j7k7j8k8j9k9j11j10i11i10h11h10g11g10f11e10k4j5j4i5i4h5h4g5g4f5e4d3e2e3f2f3g2a4f4d5e5d7d6b7c7a9b8a8b10b9d9c8,black
19383,1977778,Tom Ace,Giupiter,1929,1843,k2*k10i6f8f6j4g5i5h7k4g9g6e10f10f9j6j7h8h9i8i7e8e11c12d10k8k9j9i9l6i11j10,black
19384,1977777,struggler,Tom Ace,1844,1929,a8*i5i7f8f6g6f7g7i4j4j3k3l1h4h5g5i2h2i1g2g1d3e2f2f4h6k2h3f1e3d2b3c3b4c4b5c5b6d9c6d5m1h9l3e10g9f11g10g11h10h11i10i11k10j10k9j9k8k7,white
19387,1977767,Tom Ace,PaulStu,1929,1896,a8*i3j3l2i4f5f6j6j5k5l3d7d8e7e8g7f7h5h4g5g3c8e4,white
19391,1976854,PaulStu,Tom Ace,1896,1929,m11k9g7g5h5i3h4g6i5h6i6h7j7i9d7g4e5d8e7e8f7f9g9g8i8h9h8f11g10g11h10h11f10e11e10d11,white
19395,1967926,Tom Ace,Scott Arnold,1929,1675,k2g8j11i7e9f6e6e7j5j6e8c8d8d7h7h5i5,black
19400,1959087,realefab,Tom Ace,1772,1929,a4*k3j7c11e5g7f9h8h9g9f11d9f7h5e9e7f6e8f8f10d12d11b13a13b12a12b11a11b10a10b9a9b8a8c6b6c5b5c4b4c2c3e2g10g11i10h10i8i9k8j8k6l5k7j5j6h6i6i5g6h7,white
19401,1956955,Jonas,Tom Ace,1729,1929,a13*g7d4e4f7g6i4f5g8f8f9e9e10d10d11a12b12a13b11a11b10a10b9a9b8a8c6b7c7a6b6,white
19402,1955349,Tom Ace,ferrarifeleches,1929,1332,k2,black
19403,1953247,isafam,Tom Ace,1671,1929,h7*f8f9e9e11d11b12c12g6d7g5f5e5e6g3f4f3d4d3e3f1e2e1b3c2b2c3b4c4,white
19404,1951104,nullptr,Tom Ace,1684,1929,c13c10h7i10g9g7i5g8h8h6i6i4j4j3k3l1k2k1j2j1h3h2f3g3m1l2m2l3m3l4m4k6l6j8k8j11l9j12e5f5d7e7d8e9,white
19405,1949293,Nagy Fathy ★,Tom Ace,1754,1929,a3c5d5j11g11f8h7g6i5g9h9h8j7i8j8i9j9i10j10i11l10k12e8e9c10d9c9d7d8f6c7c6d6c8a9b8a8b7a7b5,white
19406,1946622,Tom Ace,psikonauta,1929,1902,k2f8j9j11l8i10i9h10g9j5h6h7k6j4e10f6h5i7e8f7e6c10,white
19408,1942810,gi0cam,Tom Ace,1695,1929,k2d3h5h7e8h4f6g5g6i3j4k3j3i5i4f10d10d11e11d12e10e12f11f12g11g12b11b12h11h12j11i11j10i10i6j9l8k7m6l5,white
19409,1942809,Tom Ace,Alexander Kurz,1929,1813,k2*k10j5h5h6i5h7e8f6e9f7e6e5d6,black
19410,1942808,Schaapmans,Tom Ace,1569,1929,c11*h4d3g7f7f8g6i5h6i6h7i7h9h8g10f9d10e11i4h5i1i3j2j3k2g2h3g4g3f3f4e4i2e5f5e6d8e7e8m2m1c8b11c10c11e9d9f6g5l2l1a11a12,white
19411,1942807,Tom Ace,mass,1929,1645,k2k4g7h5h7f6i6i5d7e5d5d6b7c7b8c8b9b12c10d11c12c11j5j4e9f10g9g10i9d3c3c5c6f2e3e2f3g2g3h2h3i2i3f9f8h12i10j11g11f13e12h9j7i8j8,black
19412,1942806,Nagy Fathy ★,Tom Ace,1754,1929,a3*d2j11g11g7j7e5i6j6i7i5h6h5f6g4c6d4c4c5a6b8b7d3e2j5b3l5b4d7,white
19413,1942805,Tom Ace,knrafto,1929,1490,k2*i5i10g10,black
19414,1942804,realefab,Tom Ace,1772,1929,a4*k3j11g11f8g8f9h9g7i6h8d9d10b11c10b10c8,white
19415,1942796,Tom Ace,struggler,1929,1844,k2i10j11g8h7h6f8g7f6f7e8e7c8d6c6c7a8b8a9b9a10b10a11b12b11c11c10d10d9f9,white
19417,1940298,PaulStu,Tom Ace,1896,1929,m11j8g7c2d3g6h6g5f7i4e6e5d4g4c6d6c7d9d8e8i6,black
